filename	reads	bases	perc_gc	non_acgt
reads/qc/BR01B06.fastq.gz	6428	426920	52.1	2764
reads/qc/BR01C01.fastq.gz	182830	12037976	52.0	77268
reads/qc/BR01B02.fastq.gz	522398	34656816	52.1	220500
reads/qc/BR01A08.fastq.gz	617332	42202828	51.5	248866
reads/qc/BR01B11.fastq.gz	854590	55661203	52.4	362722
reads/qc/BR01C02.fastq.gz	935278	62137489	51.6	388334
reads/qc/BR01A07.fastq.gz	1099654	72694962	52.0	462283
reads/qc/BR01B08.fastq.gz	1219748	83018508	51.6	495913
reads/qc/BR01A03.fastq.gz	1244860	84784861	51.4	501232
reads/qc/BR01A11.fastq.gz	1229868	84323904	51.9	498102
reads/qc/BR01C05.fastq.gz	1314312	90726541	52.0	518945
reads/qc/BR01A02.fastq.gz	1382928	99422939	50.4	509702
reads/qc/BR01C07.fastq.gz	1143338	76328952	51.9	467360
reads/qc/BR01C12.fastq.gz	624136	41686179	52.1	257834
reads/qc/BR01C11.fastq.gz	979206	62328625	52.6	426396
reads/qc/BR01B12.fastq.gz	2075344	138117617	52.2	858543
reads/qc/BR01B10.fastq.gz	2153550	141645556	52.0	908613
reads/qc/BR01C03.fastq.gz	2159540	144691848	52.0	890959
reads/qc/BR01A05.fastq.gz	2284486	157256836	51.7	917696
reads/qc/BR01D05.fastq.gz	1238474	82590449	51.9	501177
reads/qc/BR01D01.fastq.gz	1345532	88054325	52.2	572543
reads/qc/BR01B04.fastq.gz	2798472	189324545	51.9	1132613
reads/qc/BR01A09.fastq.gz	2448050	165985556	51.9	1001469
reads/qc/BR01C08.fastq.gz	2372608	158649985	51.7	980891
reads/qc/BR01D10.fastq.gz	856554	55591472	52.3	367463
reads/qc/BR01B09.fastq.gz	3314782	219949383	52.0	1386626
reads/qc/BR01D11.fastq.gz	1105394	71645170	52.7	471634
reads/qc/BR01A01.fastq.gz	3747036	251379152	51.8	1545726
reads/qc/BR01C04.fastq.gz	3463692	240648913	51.7	1346188
reads/qc/BR01A10.fastq.gz	3496882	241089716	51.8	1402152
reads/qc/BR01D06.fastq.gz	1735434	116575038	51.7	710089
reads/qc/BR01E08.fastq.gz	850872	54738152	52.4	350872
reads/qc/BR01E10.fastq.gz	814866	52539017	52.9	340173
reads/qc/BR01E04.fastq.gz	1303598	88094787	52.0	522793
reads/qc/BR01C09.fastq.gz	3202988	221328431	51.7	1271181
reads/qc/BR01E09.fastq.gz	1108438	74327695	52.2	448676
reads/qc/BR01D08.fastq.gz	2811156	184974951	52.3	1182211
reads/qc/BR01D04.fastq.gz	3315476	217349201	52.1	1377875
reads/qc/BR01B05.fastq.gz	3573420	246130511	51.8	1424228
reads/qc/BR01E05.fastq.gz	1328948	90192951	52.1	525927
reads/qc/BR01B03.fastq.gz	4809864	319967833	52.0	2010845
reads/qc/BR01B01.fastq.gz	4209716	289315099	51.6	1680323
reads/qc/BR01E01.fastq.gz	2161996	140315459	52.1	900180
reads/qc/BR01F05.fastq.gz	836358	53107800	52.6	359544
reads/qc/BR01F03.fastq.gz	1177536	77254573	52.2	495286
reads/qc/BR01A12.fastq.gz	4403408	311325007	50.9	1722720
reads/qc/BR01A06.fastq.gz	3850364	258093218	51.8	1607342
reads/qc/BR01F04.fastq.gz	1064526	68913283	52.4	450551
reads/qc/BR01E12.fastq.gz	1286250	85191271	52.4	523667
reads/qc/BR01F02.fastq.gz	1245690	80899486	52.3	529301
reads/qc/BR01F11.fastq.gz	864734	55772950	52.5	368096
reads/qc/BR01F06.fastq.gz	1230736	78084664	52.6	528397
reads/qc/BR01G03.fastq.gz	807612	51537039	52.6	347375
reads/qc/BR01F08.fastq.gz	1185634	73723911	52.8	519444
reads/qc/BR01G02.fastq.gz	991942	63506719	52.6	426223
reads/qc/BR01G07.fastq.gz	722004	45782650	52.5	309069
reads/qc/BR01E07.fastq.gz	2137760	144343107	51.8	857107
reads/qc/BR01E02.fastq.gz	1573250	107291830	51.9	622582
reads/qc/BR01F10.fastq.gz	1512290	97288717	52.0	650079
reads/qc/BR01G06.fastq.gz	1061034	65725399	52.9	460044
reads/qc/BR01D09.fastq.gz	4027452	271998403	51.9	1615003
reads/qc/BR01G04.fastq.gz	1126748	72131739	52.4	482260
reads/qc/BR01C06.fastq.gz	6084232	412077104	51.9	2459046
reads/qc/BR01F07.fastq.gz	1476542	94809578	52.2	626489
reads/qc/BR01F09.fastq.gz	1964666	123797947	52.7	848725
reads/qc/BR01E03.fastq.gz	3170816	212416464	52.0	1265596
reads/qc/BR01H03.fastq.gz	866222	54172010	52.8	372956
reads/qc/BR01G11.fastq.gz	1086936	69457303	52.8	461956
reads/qc/BR01G05.fastq.gz	1200818	80891973	51.8	499157
reads/qc/BR01H12.fastq.gz	583850	37843871	52.8	244046
reads/qc/BR01H05.fastq.gz	1052974	66483777	52.6	448700
reads/qc/BR01A04.fastq.gz	6887056	467100819	51.7	2777175
reads/qc/BR01H11.fastq.gz	682644	45045240	52.0	278266
reads/qc/BR01E06.fastq.gz	3933690	253812160	52.4	1638312
reads/qc/BR01H06.fastq.gz	994408	65912382	51.8	401537
reads/qc/BR01H02.fastq.gz	1451484	91519592	52.9	616797
reads/qc/BR01F12.fastq.gz	1994454	131644005	52.4	817052
reads/qc/BR01E11.fastq.gz	4064782	268397290	52.6	1662790
reads/qc/BR01B07.fastq.gz	6660194	448733194	51.7	2707109
