Sample	Count
BR01A01	1873518
BR01A02	691464
BR01A03	622430
BR01A04	3443528
BR01A05	1142243
BR01A06	1925182
BR01A07	549827
BR01A08	308666
BR01A09	1224025
BR01A10	1748441
BR01A11	614934
BR01A12	2201704
BR01B01	2104858
BR01B02	261199
BR01B03	2404932
BR01B04	1399236
BR01B05	1786710
BR01B06	3214
BR01B07	3330097
BR01B08	609874
BR01B09	1657391
BR01B10	1076775
BR01B11	427295
BR01B12	1037672
BR01C01	91415
BR01C02	467639
BR01C03	1079770
BR01C04	1731846
BR01C05	657156
BR01C06	3042116
BR01C07	571669
BR01C08	1186304
BR01C09	1601494
BR01C10	562
BR01C11	489603
BR01C12	312068
BR01D01	672766
BR01D02	272
BR01D03	271
BR01D04	1657738
BR01D05	619237
BR01D06	867717
BR01D07	5269483
BR01D08	1405578
BR01D09	2013726
BR01D10	428277
BR01D11	552697
BR01D12	595
BR01E01	1080998
BR01E02	786625
BR01E03	1585408
BR01E04	651799
BR01E05	664474
BR01E06	1966845
BR01E07	1068880
BR01E08	425436
BR01E09	554219
BR01E10	407433
BR01E11	2032391
BR01E12	643125
BR01F01	2917935
BR01F02	622845
BR01F03	588768
BR01F04	532263
BR01F05	418179
BR01F06	615368
BR01F07	738271
BR01F08	592817
BR01F09	982333
BR01F10	756145
BR01F11	432367
BR01F12	997227
BR01G01	3474530
BR01G02	495971
BR01G03	403806
BR01G04	563374
BR01G05	600409
BR01G06	530517
BR01G07	361002
BR01G08	1829113
BR01G09	1352010
BR01G10	2623749
BR01G11	543468
BR01G12	1031415
BR01H01	44
BR01H02	725742
BR01H03	433111
BR01H04	1958361
BR01H05	526487
BR01H06	497204
BR01H07	1049917
BR01H08	3513292
BR01H09	2983088
BR01H10	2163831
BR01H11	341322
BR01H12	291925
BR02A01	5280550
BR02A02	1443217
BR02A03	1575281
BR02A04	1556227
BR02A05	1831877
BR02A06	1537427
BR02A07	1508288
BR02A08	2154055
BR02A09	1214684
BR02A10	1249879
BR02A11	1365989
BR02A12	1387574
BR02B01	973824
BR02B02	1416281
BR02B03	1265746
BR02B04	1446872
BR02B05	1633389
BR02B06	1269861
BR02B07	794778
BR02B08	1705003
BR02B09	1699564
BR02B10	1588136
BR02B11	1740177
BR02B12	1346506
BR02C01	1133674
BR02C02	833636
BR02C03	1392357
BR02C04	1417124
BR02C05	1492612
BR02C06	1521226
BR02C07	984866
BR02C08	1657788
BR02C09	1445392
BR02C10	9654174
BR02C11	1587220
BR02C12	2598694
BR02D01	1606794
BR02D02	1735943
BR02D03	1362116
BR02D04	745396
BR02D05	1614071
BR02D06	1736406
BR02D07	1396260
BR02D08	1947633
BR02D09	1779975
BR02D10	1385929
BR02D11	2552943
