"sample","species.id","accession","well.name","species.jared","species.readnum"
"BR01A01","distachyon","Bd21","BD21","distachyon","distachyon"
"BR01A02","distachyon","RIL-183","RIL-183","distachyon","distachyon"
"BR01A03","distachyon","RIL-160","RIL-160","distachyon","distachyon"
"BR01A04","distachyon","RIL-124","RIL-124","distachyon","distachyon"
"BR01A05","distachyon","RIL-150","RIL-150","distachyon","distachyon"
"BR01A06","distachyon","RIL-112","RIL-112","distachyon","distachyon"
"BR01A07","distachyon","RIL-115","RIL-115","distachyon","distachyon"
"BR01A08","distachyon","RIL-120","RIL-120","distachyon","distachyon"
"BR01A09","distachyon","RIL-7","RIL-7","distachyon","distachyon"
"BR01A10","distachyon","RIL-99","RIL-99","distachyon","distachyon"
"BR01A11","distachyon","Kah-5","KAH5","distachyon","distachyon"
"BR01A12","distachyon","BdTR13g","BdTR13G","distachyon","distachyon"
"BR01B01","distachyon","Adi-4","Adi4","distachyon","distachyon"
"BR01B02","distachyon","RIL-Bd21","RIL-Bd21","distachyon","distachyon"
"BR01B03","distachyon","RIL-163","RIL-163","distachyon","distachyon"
"BR01B04","distachyon","RIL-125","RIL-125","distachyon","distachyon"
"BR01B05","distachyon","RIL-154","RIL-154","distachyon","distachyon"
"BR01B07","distachyon","RIL-113","RIL-113","distachyon","distachyon"
"BR01B08","distachyon","RIL-122","RIL-122","distachyon","distachyon"
"BR01B09","distachyon","RIL-8","RIL-8","distachyon","distachyon"
"BR01B10","distachyon","RIL-100","RIL-100","distachyon","distachyon"
"BR01B11","distachyon","RIL-168","RIL-168","distachyon","distachyon"
"BR01B12","distachyon","BdTR1m","BdTR1M","distachyon","distachyon"
"BR01C01","low_coverage","BdTR3n","BdTR3n","distachyon","low_coverage"
"BR01C02","distachyon","BdTR11i","BdTR11i","distachyon","distachyon"
"BR01C03","distachyon","RIL-164","RIL-164","distachyon","distachyon"
"BR01C04","distachyon","RIL-123","RIL-123","distachyon","distachyon"
"BR01C05","distachyon","RIL-152","RIL-152","distachyon","distachyon"
"BR01C06","distachyon","RIL-107","RIL-107","distachyon","distachyon"
"BR01C07","distachyon","RIL-88","RIL-88","distachyon","distachyon"
"BR01C08","distachyon","RIL-118","RIL-118","distachyon","distachyon"
"BR01C09","distachyon","RIL-18","RIL-18","distachyon","distachyon"
"BR01C11","distachyon","RIL-176","RIL-176","distachyon","distachyon"
"BR01C12","distachyon","Adi-1","Adi1","distachyon","distachyon"
"BR01D01","distachyon","BdTR9f","BdTR9F","distachyon","distachyon"
"BR01D04","distachyon","RIL-129","RIL-129","distachyon","distachyon"
"BR01D05","distachyon","RIL-63","RIL-63","distachyon","distachyon"
"BR01D06","distachyon","RIL-146","RIL-146","distachyon","distachyon"
"BR01D07","distachyon","RIL-87","RIL-87","distachyon","distachyon"
"BR01D08","distachyon","RIL-3","RIL-3","distachyon","distachyon"
"BR01D09","distachyon","RIL-20","RIL-20","distachyon","distachyon"
"BR01D10","distachyon","RIL-96","RIL-96","distachyon","distachyon"
"BR01D11","distachyon","RIL-182","RIL-182","distachyon","distachyon"
"BR01E01","distachyon","Kah-2","Kah2","distachyon","distachyon"
